id	description	en	local
def_jet_engine_intake_small_desc		This is part of a set of modular jet engine components. The intake will provide a greater air flow when travelling through the air.	Isso faz parte de um conjunto de componentes modulares de motores a jato. A ingestão irá fornecer um fluxo de ar maior ao viajar através do ar.
def_jet_engine_intake_small_s_desc		A small intake that will suck air into a jet engine.	Uma pequena ingestão de que irá sugar o ar em um motor a jato.
def_jet_engine_intake_small_node_0_label		Air Pressure	Pressão do ar
def_jet_engine_intake_small_node_0_desc		The pressure of air transferred by the intake.	A pressão de ar transferido pela ingestão.
def_jet_engine_intake_small_node_1_label		RPS	RPS
def_jet_engine_intake_small_node_1_desc		The rotations per second generated by the intake.	As rotações por segundo gerado pela ingestão.
def_jet_engine_turbine_medium_name		Jet Turbine Medium	Médio Jet Turbine
def_jet_engine_turbine_medium_desc		This is part of a set of modular jet engine components. This turbine has a torque connection for manually starting using an electric motor, or for powering additional props and generators.	Isso faz parte de um conjunto de componentes modulares de motores a jato. Esta turbina tem uma ligação de binário para iniciar manualmente usando um motor eléctrico, ou para alimentação de suportes e adicionais geradores.
def_jet_engine_turbine_medium_s_desc		A medium turbine that will convert air pressure to RPS within a jet engine.	Uma turbina de forma que vai converter a pressão do ar de RPS dentro de um motor a jacto.
def_jet_engine_turbine_medium_node_0_label		Power	Poder
def_jet_engine_turbine_medium_node_0_desc		The torque of the turbine.	O torque da turbina.
def_jet_engine_turbine_medium_node_1_label		Air Pressure	Pressão do ar
def_jet_engine_turbine_medium_node_1_desc		The pressure of air transferred by the turbine.	A pressão de ar transferido pela turbina.
def_jet_engine_turbine_medium_node_2_label		Temperature	Temperatura
def_jet_engine_turbine_medium_node_2_desc		The temperature of air transferred by the turbine.	A temperatura do ar transferido pela turbina.
def_jet_engine_turbine_medium_node_3_label		RPS	RPS
def_jet_engine_turbine_medium_node_3_desc		The rotations per second generated by the turbine.	As rotações por segundo gerada pela turbina.
def_jet_engine_turbine_medium_node_4_label		Electric	Elétrico
def_jet_engine_turbine_medium_node_4_desc		The electric connection to output electric energy.	A conexão elétrica para produção de energia elétrica.
def_jet_engine_turbine_small_name		Jet Turbine Small	Jet Turbine pequeno
def_jet_engine_turbine_small_desc		This is part of a set of modular jet engine components.	Isso faz parte de um conjunto de componentes modulares de motores a jato.
def_jet_engine_turbine_small_s_desc		A small turbine that will convert air pressure to RPS within a jet engine.	Uma pequena turbina que vai converter a pressão do ar de RPS dentro de um motor a jacto.
def_jet_engine_turbine_small_node_0_label		Air Pressure	Pressão do ar
def_jet_engine_turbine_small_node_0_desc		The pressure of air transferred by the turbine.	A pressão de ar transferido pela turbina.
def_jet_engine_turbine_small_node_1_label		Temperature	Temperatura
def_jet_engine_turbine_small_node_1_desc		The temperature of air transferred by the turbine.	A temperatura do ar transferido pela turbina.
def_jet_engine_turbine_small_node_2_label		RPS	RPS
def_jet_engine_turbine_small_node_2_desc		The rotations per second generated by the turbine.	As rotações por segundo gerada pela turbina.
def_jet_engine_turbine_small_node_3_label		Electric	Elétrico
def_jet_engine_turbine_small_node_3_desc		The electric connection to output electric energy.	A conexão elétrica para produção de energia elétrica.
def_ladder_small_name		Ladder	Escada
def_ladder_small_desc		You can attach to the ladder by pressing [$[action_use_seat]], then detach again by pressing either [$[action_use_seat]] or [$[action_jump]]. You will automatically detach from the ladder when you reach the top.	Você pode anexar à escada, pressionando [$ [action_use_seat]] e retire novamente pressionando quer [$ [action_use_seat]] ou [$ [action_jump]]. Você irá separar automaticamente a partir da escada quando você chegar ao topo.
def_ladder_small_s_desc		Single ladder rung. Multiple rungs can placed on top of each other to form a ladder of abitrary length.	escada único degrau. Múltiplos degraus pode colocados em cima uns dos outros para formar uma escada de comprimento abitrary.
def_landing_float_name		Landing Float	Float Landing
def_landing_float_desc		Ideal for attaching to helicopters to allow them to land on the ocean.	Ideal para anexar a helicópteros para permitir-lhes terras no oceano.
def_landing_float_s_desc		A buoyant float.	Um flutuador flutuante.
def_large_propeller_name		Large Propeller	Grande Propeller
def_large_propeller_desc		Power received from an engine affects the forward and backward force generated. This propeller will only operate underwater.	Potência recebida de um motor afeta a força para a frente e para trás gerado. Esta hélice única irá operar debaixo de água.
def_large_propeller_s_desc		A large boat propeller.	Um grande hélice de barco.
def_large_propeller_node_0_label		Power	Poder
def_large_propeller_node_0_desc		Receives power generated by an engine.	Recebe a energia gerada por um motor.
def_large_rotor_name		Large Rotor	Grande Rotor
def_large_rotor_desc		Two standard number inputs control the rotor's swashplate, allowing you to affect the its pitch and roll. Power received from an engine affects the amount of up and down force that the rotor will generate. The output force of this rotor is decreased when underwater.	Duas entradas numéricas padrão controlar swashplate do rotor, o que lhe permite afetar o seu pitch and roll. Potência recebida de um motor afeta a quantidade de cima e para baixo força que o rotor irá gerar. A força deste rotor saída é diminuída quando subaquático.
def_large_rotor_s_desc		A helicopter rotor with controllable pitch and roll.	Um rotor de helicóptero com passo controlável and roll.
def_large_rotor_node_0_label		Roll	Lista
def_large_rotor_node_0_desc		Standard value between -1 and 1 representing the desired roll amount.	valor padrão entre -1 e 1 representando a quantidade do rolo desejado.
def_large_rotor_node_1_label		Pitch	breu
def_large_rotor_node_1_desc		Standard value between -1 and 1 representing the desired pitch amount.	valor padrão entre -1 e 1 representando a quantidade passo desejado.
def_large_rotor_node_2_label		Power	Poder
def_large_rotor_node_2_desc		Receives power generated by an engine.	Recebe a energia gerada por um motor.
def_large_rotor_node_3_label		Collective	coletivo
def_large_rotor_node_3_desc		Standard value between -1 and 1 representing the desired pitch amount.	valor padrão entre -1 e 1 representando a quantidade passo desejado.
def_laser_beacon_name		Laser Beacon	Laser Beacon
def_laser_beacon_desc			#VALOR!
def_laser_beacon_s_desc		A beacon that produces a laser point light, visible by laser point sensors.	Uma baliza que produz um ponto de luz do laser, visível por sensores de ponto de laser.
def_laser_beacon_node_0_label		Beacon Light	Beacon Light
def_laser_beacon_node_0_desc		Switches the beacon on when receiving an on signal.	Muda o farol quando receber um sinal diante.
def_laser_beacon_node_1_label		Electric	Elétrico
def_laser_beacon_node_1_desc		Electrical power connection.	conexão de energia elétrica.
def_laser_beacon_node_2_label		Wavelength	Comprimento de onda
def_laser_beacon_node_2_desc		The specific light wavelength to emit (whole number).	O comprimento de onda específico para emitir luz (número inteiro).
def_laser_distance_sensor_name		Laser Distance Sensor	Laser Sensor Distância
def_laser_distance_sensor_desc		The reading can be read from the sensor's number output and is measured in metres (1 metre = 4 blocks).	A leitura pode ser lido a partir da saída do sensor número e é medido em metros (1 metro = 4 blocos).
def_laser_distance_sensor_s_desc		A laser distance sensor with a maximum measurement range of 2000m.	Um sensor de distância de laser com um intervalo de medição máxima de 2000m.
def_laser_distance_sensor_node_0_label		Distance	Distância
def_laser_distance_sensor_node_0_desc		The measured distance in metres, up to 2000m.	A distância medida em metros, até 2000m.
def_laser_distance_sensor_node_1_label		Electric	Elétrico
def_laser_distance_sensor_node_1_desc		Electrical power connection.	conexão de energia elétrica.
def_laser_distance_sensor_node_2_label		Active	Ativo
def_laser_distance_sensor_node_2_desc		Controls whether or not the laser is active.	Controla se ou não o laser está ativo.
def_laser_distance_sensor_node_3_label		Wavelength	Comprimento de onda
def_laser_distance_sensor_node_3_desc		The specific light wavelength to emit (whole number).	O comprimento de onda específico para emitir luz (número inteiro).
def_laser_point_sensor_name		Laser Point Sensor	Laser Sensor Ponto
def_laser_point_sensor_desc		The closest point to the center of the sensor's field of view will be reported. It outputs a value of -1 to 1 on composite number channel 1 for the x position, and a value of -1 to 1 on composite number channel 2 for the y position. Composite on/off channel 1 is set to on when a point is visible. The -1 to 1 values map to an fov of -cos(0.5) to cos(0.5) in both the x and y directions.	O ponto mais próximo do centro do campo de visão do sensor será relatado. Ele produz um valor de -1 para um canal em número composto 1 para a posição X, e um valor de -1 para um canal em número composto 2 para a posição y. Composição de ligar / desligar um canal é definido como um ponto sobre quando é visível. Os -1 a 1 valores mapeados para um FOV de -cos (0,5) para (0,5) cos em ambas direcções x e y.
def_laser_point_sensor_s_desc		A sensor that outputs a relative x and y position of a laser point that it can see within its field of view.	Um sensor que emite um X em relação e posição Y de um ponto de laser que pode ver no seu campo de visão.
def_laser_point_sensor_node_0_label		Electric	Elétrico
def_laser_point_sensor_node_0_desc		Electrical power connection.	conexão de energia elétrica.
def_laser_point_sensor_node_1_label		Data Output	saída de dados
def_laser_point_sensor_node_1_desc		On/Off channel 1: is laser detected. Number channel 1, 2: X, Y position within the sensors 120 degree field of view.	On / Off do canal 1: é a laser detectada. canal número 1, 2: X, Y posição dentro dos sensores de campo de 120 graus de vista.
def_laser_point_sensor_node_2_label		Wavelength	Comprimento de onda
def_laser_point_sensor_node_2_desc		The specific light wavelength to detect (whole number).	O comprimento de onda de luz específicos para detectar (número inteiro).
